[[12, 8], 1]
[[11, 8], 1]
[[10, 8], 1]
[[10, 8], 2]
[[10, 7], 2]
[[10, 7], 3]
[[11, 7], 3]
[[12, 7], 3]
[[13, 7], 3]
[[14, 7], 3]
[[15, 7], 3]
[[16, 7], 3]
[[17, 7], 3]
[[18, 7], 3]
[[18, 7], 0]
[[18, 8], 0]
[[18, 9], 0]
[[18, 10], 0]
[[18, 11], 0]
[[18, 12], 0]
[[18, 13], 0]
[[18, 14], 0]
[[18, 15], 0]
[[18, 16], 0]
[[18, 17], 0]
[[18, 18], 0]
[[18, 18], 1]
[[17, 18], 1]
[[16, 18], 1]
[[15, 18], 1]
[[14, 18], 1]
[[13, 18], 1]
[[12, 18], 1]
[[11, 18], 1]
[[10, 18], 1]
[[9, 18], 1]
[[8, 18], 1]
[[7, 18], 1]
[[6, 18], 1]
[[5, 18], 1]
[[4, 18], 1]
[[3, 18], 1]
[[2, 18], 1]
[[1, 18], 1]
[[1, 18], 2]
[[1, 17], 2]
[[1, 16], 2]
[[1, 15], 2]
[[1, 14], 2]
[[1, 13], 2]
[[1, 12], 2]
[[1, 12], 3]
[[2, 12], 3]
[[3, 12], 3]
[[4, 12], 3]
[[5, 12], 3]
[[6, 12], 3]
[[7, 12], 3]
[[8, 12], 3]
[[9, 12], 3]
[[10, 12], 3]
[[11, 12], 3]
[[12, 12], 3]
[[13, 12], 3]
[[14, 12], 3]
[[15, 12], 3]
[[15, 12], 0]
[[15, 13], 0]
[[15, 14], 0]
[[15, 15], 0]
[[15, 16], 0]
[[15, 16], 1]
[[14, 16], 1]
[[13, 16], 1]
[[12, 16], 1]
[[11, 16], 1]
[[10, 16], 1]
[[9, 16], 1]
[[8, 16], 1]
[[7, 16], 1]
[[6, 16], 1]
[[6, 16], 2]
[[6, 15], 2]
[[6, 14], 2]
[[6, 14], 3]
[[7, 14], 3]
[[8, 14], 3]
[[9, 14], 3]
[[10, 14], 3]
[[11, 14], 3]
[[11, 14], 0]
[[11, 14], 1]
[[10, 14], 1]
[[9, 14], 1]
[[8, 14], 1]
[[7, 14], 1]
[[7, 14], 0]
[[7, 15], 0]
[[7, 16], 0]
[[7, 16], 3]
[[8, 16], 3]
[[9, 16], 3]
[[10, 16], 3]
[[11, 16], 3]
[[12, 16], 3]
[[13, 16], 3]
[[13, 16], 2]
[[13, 15], 2]
[[13, 14], 2]
[[13, 13], 2]
[[13, 12], 2]
[[13, 12], 1]
[[12, 12], 1]
[[11, 12], 1]
[[10, 12], 1]
[[9, 12], 1]
[[8, 12], 1]
[[7, 12], 1]
[[6, 12], 1]
[[5, 12], 1]
[[4, 12], 1]
[[4, 12], 0]
[[4, 13], 0]
[[4, 14], 0]
[[4, 15], 0]
[[4, 16], 0]
[[4, 17], 0]
[[4, 18], 0]
[[4, 18], 3]
[[5, 18], 3]
[[6, 18], 3]
[[7, 18], 3]
[[8, 18], 3]
[[9, 18], 3]
[[10, 18], 3]
[[11, 18], 3]
[[12, 18], 3]
[[13, 18], 3]
[[14, 18], 3]
[[15, 18], 3]
[[16, 18], 3]
[[17, 18], 3]
[[17, 18], 2]
[[17, 17], 2]
[[17, 16], 2]
[[17, 15], 2]
[[17, 14], 2]
[[17, 13], 2]
[[17, 12], 2]
[[17, 11], 2]
[[17, 10], 2]
[[17, 10], 1]
[[16, 10], 1]
[[15, 10], 1]
[[14, 10], 1]
[[13, 10], 1]
[[12, 10], 1]
[[11, 10], 1]
[[10, 10], 1]
[[9, 10], 1]
[[8, 10], 1]
[[7, 10], 1]
[[6, 10], 1]
[[5, 10], 1]
[[4, 10], 1]
[[3, 10], 1]
[[2, 10], 1]
[[1, 10], 1]
[[1, 10], 2]
[[1, 9], 2]
[[1, 9], 1]
[[0, 9], 1]
[[-1, 9], 1]
